City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Amaravati,09-12-2017,74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,0.26,4.79,0.16,196
Amaravati,10-12-2017,50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132
Amaravati,11-12-2017,58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,0.23,5.51,0.16,147
Amaravati,12-12-2017,89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,0.28,7.01,0.19,179
Amaravati,13-12-2017,64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,0.24,6.11,0.14,145
Amaravati,14-12-2017,69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55,0.23,5.09,0.14,115
Amaravati,15-12-2017,71.07,109.65,4.19,25,16.7,16,0.1,8.33,79.04,0.18,3.45,0.07,140
Amaravati,16-12-2017,79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,0.24,4.41,0.13,156
Amaravati,21-12-2017,79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,0.33,3.95,0.19,170
Amaravati,23-12-2017,86.5,147.95,5.24,42,26.6,20.78,0.15,11.85,73.09,0.31,3.9,0.17,159
Amaravati,29-12-2017,74.58,138.6,6.14,46.65,29.81,18.2,0.17,9.47,67.11,0.32,3.76,0.18,177
Amaravati,30-12-2017,56.68,109.33,4.6,33.26,21.44,16.86,0.1,8.26,66.91,0.25,3.28,0.14,120
Amaravati,31-12-2017,61.03,131.62,5.51,39.5,25.49,17.82,0.08,11.45,61.91,0.33,4.16,0.19,120
Amaravati,02-01-2018,61.88,109.82,3.87,23.14,15.45,19.57,0.09,12.81,81.38,0.2,3.84,0.04,132
Amaravati,03-01-2018,71.57,137.48,5.01,39.99,25.36,25.61,0.09,16.82,80.3,0.24,6.55,0.11,136
Amaravati,04-01-2018,92.44,174.75,5.84,53.79,33.36,19.45,0.11,16.93,71.09,0.3,7.23,0.23,182
Amaravati,14-01-2018,86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186
